DATE,NA000349Q
1947-01-01,36748.0
1947-04-01,39831.0
1947-07-01,39991.0
1947-10-01,45282.0
1948-01-01,40579.0
1948-04-01,43037.0
1948-07-01,43339.0
1948-10-01,47924.0
1949-01-01,41535.0
1949-04-01,44392.0
1949-07-01,43978.0
1949-10-01,48429.0
1950-01-01,43203.0
1950-04-01,46313.0
1950-07-01,49442.0
1950-10-01,53086.0
1951-01-01,49870.0
1951-04-01,50800.0
1951-07-01,50875.0
1951-10-01,56794.0
1952-01-01,50586.0
1952-04-01,53784.0
1952-07-01,53838.0
1952-10-01,61113.0
1953-01-01,54758.0
1953-04-01,58078.0
1953-07-01,57283.0
1953-10-01,62621.0
1954-01-01,55883.0
1954-04-01,59428.0
1954-07-01,58876.0
1954-10-01,65422.0
1955-01-01,59547.0
1955-04-01,64073.0
1955-07-01,64062.0
1955-10-01,70606.0
1956-01-01,63885.0
1956-04-01,66725.0
1956-07-01,66748.0
1956-10-01,73769.0
1957-01-01,66916.0
1957-04-01,70773.0
1957-07-01,71408.0
1957-10-01,77200.0
1958-01-01,69349.0
1958-04-01,72851.0
1958-07-01,72955.0
1958-10-01,80451.0
1959-01-01,74391.0
1959-04-01,79197.0
1959-07-01,78707.0
1959-10-01,84835.0
1960-01-01,78095.0
1960-04-01,83503.0
1960-07-01,81622.0
1960-10-01,87961.0
1961-01-01,80392.0
1961-04-01,84868.0
1961-07-01,84325.0
1961-10-01,91890.0
1962-01-01,85183.0
1962-04-01,90580.0
1962-07-01,89347.0
1962-10-01,97447.0
1963-01-01,89572.0
1963-04-01,95005.0
1963-07-01,94842.0
1963-10-01,102615.0
1964-01-01,96250.0
1964-04-01,101702.0
1964-07-01,102389.0
1964-10-01,110290.0
1965-01-01,102356.0
1965-04-01,109569.0
1965-07-01,109857.0
1965-10-01,121190.0
1966-01-01,111962.0
1966-04-01,118685.0
1966-07-01,119893.0
1966-10-01,129379.0
1967-01-01,118506.0
1967-04-01,125926.0
1967-07-01,126742.0
1967-10-01,135511.0
1968-01-01,128484.0
1968-04-01,137109.0
1968-07-01,140326.0
1968-10-01,150934.0
1969-01-01,140005.0
1969-04-01,149494.0
1969-07-01,151494.0
1969-10-01,162646.0
1970-01-01,151152.0
1970-04-01,160165.0
1970-07-01,162510.0
1970-10-01,172897.0
1971-01-01,162083.0
1971-04-01,173455.0
1971-07-01,175785.0
1971-10-01,188614.0
1972-01-01,177530.0
1972-04-01,189526.0
1972-07-01,193099.0
1972-10-01,207998.0
1973-01-01,197701.0
1973-04-01,210575.0
1973-07-01,213272.0
1973-10-01,228025.0
1974-01-01,212793.0
1974-04-01,231087.0
1974-07-01,237028.0
1974-10-01,249253.0
1975-01-01,236152.0
1975-04-01,253594.0
1975-07-01,261235.0
1975-10-01,279565.0
1976-01-01,267013.0
1976-04-01,282678.0
1976-07-01,287919.0
1976-10-01,310055.0
1977-01-01,295766.0
1977-04-01,313050.0
1977-07-01,320500.0
1977-10-01,344659.0
1978-01-01,326788.0
1978-04-01,350897.0
1978-07-01,359256.0
1978-10-01,385310.0
1979-01-01,368960.0
1979-04-01,387672.0
1979-07-01,398359.0
1979-10-01,430429.0
1980-01-01,414502.0
1980-04-01,423893.0
1980-07-01,437419.0
1980-10-01,474853.0
1981-01-01,454535.0
1981-04-01,476304.0
1981-07-01,486239.0
1981-10-01,516873.0
1982-01-01,489867.0
1982-04-01,506959.0
1982-07-01,516766.0
1982-10-01,557665.0
1983-01-01,528453.0
1983-04-01,560648.0
1983-07-01,574301.0
1983-10-01,618203.0
1984-01-01,590266.0
1984-04-01,617272.0
1984-07-01,620377.0
1984-10-01,664426.0
1985-01-01,636625.0
1985-04-01,669364.0
1985-07-01,682388.0
1985-10-01,724454.0
1986-01-01,684983.0
1986-04-01,710946.0
1986-07-01,724631.0
1986-10-01,765718.0
1987-01-01,718294.0
1987-04-01,762670.0
1987-07-01,775418.0
1987-10-01,819897.0
1988-01-01,781886.0
1988-04-01,819335.0
1988-07-01,836203.0
1988-10-01,892590.0
1989-01-01,843319.0
1989-04-01,884696.0
1989-07-01,898475.0
1989-10-01,950268.0
1990-01-01,903424.0
1990-04-01,942675.0
1990-07-01,958197.0
1990-10-01,1004699.0
1991-01-01,937857.0
1991-04-01,977762.0
1991-07-01,990992.0
1991-10-01,1036838.0
1992-01-01,993774.0
1992-04-01,1035336.0
1992-07-01,1053132.0
1992-10-01,1115317.0
1993-01-01,1051752.0
1993-04-01,1102096.0
1993-07-01,1118091.0
1993-10-01,1180044.0
1994-01-01,1119847.0
1994-04-01,1165864.0
1994-07-01,1184231.0
1994-10-01,1251023.0
1995-01-01,1175540.0
1995-04-01,1232016.0
1995-07-01,1246289.0
1995-10-01,1308746.0
1996-01-01,1247930.0
1996-04-01,1301654.0
1996-07-01,1313340.0
1996-10-01,1381672.0
1997-01-01,1320974.0
1997-04-01,1364447.0
1997-07-01,1390831.0
1997-10-01,1460538.0
1998-01-01,1387504.0
1998-04-01,1458512.0
1998-07-01,1478112.0
1998-10-01,1553120.0
1999-01-01,1483537.0
1999-04-01,1556139.0
1999-07-01,1578387.0
1999-10-01,1661016.0
2000-01-01,1615451.0
2000-04-01,1677527.0
2000-07-01,1694653.0
2000-10-01,1774513.0
2001-01-01,1704810.0
2001-04-01,1760001.0
2001-07-01,1759476.0
2001-10-01,1841347.0
2002-01-01,1763448.0
2002-04-01,1817555.0
2002-07-01,1840853.0
2002-10-01,1927084.0
2003-01-01,1848347.0
2003-04-01,1909345.0
2003-07-01,1945406.0
2003-10-01,2037652.0
2004-01-01,1969714.0
2004-04-01,2027196.0
2004-07-01,2056371.0
2004-10-01,2178679.0
2005-01-01,2083637.0
2005-04-01,2164305.0
2005-07-01,2210935.0
2005-10-01,2310189.0
2006-01-01,2220516.0
2006-04-01,2306051.0
2006-07-01,2328379.0
2006-10-01,2422289.0
2007-01-01,2340236.0
2007-04-01,2417758.0
2007-07-01,2435725.0
2007-10-01,2552874.0
2008-01-01,2472893.0
2008-04-01,2529145.0
2008-07-01,2523004.0
2008-10-01,2525041.0
2009-01-01,2393588.0
2009-04-01,2453801.0
2009-07-01,2482376.0
2009-10-01,2561454.0
2010-01-01,2468049.0
2010-04-01,2553691.0
2010-07-01,2572012.0
2010-10-01,2666504.0
2011-01-01,2576465.0
2011-04-01,2673515.0
2011-07-01,2686441.0
2011-10-01,2762435.0
2012-01-01,2686000.0
2012-04-01,2754478.0
2012-07-01,2754643.0
2012-10-01,2852242.0
2013-01-01,2747402.0
2013-04-01,2828143.0
2013-07-01,2847324.0
2013-10-01,2965365.0
2014-01-01,2843329.0
2014-04-01,2951940.0
2014-07-01,2980003.0
2014-10-01,3099179.0
2015-01-01,2953944.0
2015-04-01,3065271.0
2015-07-01,3087550.0
2015-10-01,3190672.0
2016-01-01,3055278.0
2016-04-01,3163026.0
2016-07-01,3190090.0
2016-10-01,3318455.0
2017-01-01,3178507.0
2017-04-01,3304215.0
2017-07-01,3328872.0
2017-10-01,3479032.0
2018-01-01,3344139.0
2018-04-01,3477141.0
2018-07-01,3493569.0
2018-10-01,3619592.0
2019-01-01,3429681.0
2019-04-01,3590032.0
2019-07-01,3625133.0
2019-10-01,3772768.0
2020-01-01,3522681.0
2020-04-01,3294931.0
2020-07-01,3602387.0
2020-10-01,3786233.0
2021-01-01,3700129.0
2021-04-01,4002641.0
2021-07-01,4061088.0
2021-10-01,4279107.0
2022-01-01,4124683.0
2022-04-01,4375048.0
2022-07-01,4419506.0
2022-10-01,4592508.0
2023-01-01,4434684.0
2023-04-01,4630885.0
2023-07-01,4682785.0
